pdbid,RMSD_AF2,TMscore_AF2,GDT_TS_AF2,DockQ_AF2,F1_AF2,iRMSD_AF2_DockQ,LRMSD_AF2,fnat_AF2,fnonnat_AF2,clashes_AF2,Time_AF2,RMSD_AF3,TMscore_AF3,GDT_TS_AF3,DockQ_AF3,F1_AF3,iRMSD_AF3_DockQ,LRMSD_AF3,fnat_AF3,fnonnat_AF3,clashes_AF3,Time_AF3,RMSD_RF2,TMscore_RF2,GDT_TS_RF2,DockQ_RF2,F1_RF2,iRMSD_RF2_DockQ,LRMSD_RF2,fnat_RF2,fnonnat_RF2,clashes_RF2,Time_RF2
1rst,1.9374026127686832,0.1922,0.161,0.6288854155652831,0.6190476190476191,1.6601824665656866,3.6223078995175624,0.5909090909090909,0.35,0.0,1.6422,1.0089786477509792,0.1845,0.1591,0.8101832400119369,0.7317073170731707,0.6198993146775928,2.9174907610014293,0.6818181818181818,0.21052631578947367,0.0,0.9319,3.4684197979181293,0.1937,0.161,0.2096620053850514,0.05128205128205128,4.135500864601898,9.075937509116033,0.045454545454545456,0.9411764705882353,3.0,0.6655
4bt9,3.373706083458335,0.808,0.7316,0.4345602108612557,0.45454545454545453,3.00058693603678,7.271447389863636,0.5263157894736842,0.6,0.0,2.3294,2.546726756750537,0.8696,0.7745,0.4314216611631312,0.3684210526315789,2.627670414588197,5.830050970937601,0.3684210526315789,0.631578947368421,0.0,1.235,,0.0349,0.0316,,,,,,,,21.9444
3rc4,0.4192456023671642,0.9943,0.9927,0.8998868912484116,0.8372093023255814,0.5988413171212976,1.2146015723131123,0.8571428571428571,0.18181818181818182,0.0,1.5469,0.32538026889213645,0.9964,0.9976,0.9043514047402391,0.8372093023255814,0.5768267169996553,1.058126874495061,0.8571428571428571,0.18181818181818182,0.0,0.7138,5.9060184383645975,0.9293,0.911,0.0250293325247683,0.0,12.191412925209109,33.5917248965678,0.0,1.0,2.0,0.573
5nqv,1.2664696842295198,0.9786,0.9803,0.821989055485174,0.8,1.025636639828276,2.1779037122363674,0.8461538461538461,0.2413793103448276,0.0,2.5325,0.721453375508146,0.9864,0.9842,0.8083965076221618,0.8235294117647058,1.043220946720298,2.079974620554217,0.8076923076923077,0.16,0.0,0.9558,1.6552379679333193,0.9631,0.9539,0.8114695612408361,0.6233766233766234,1.2183215048268397,2.6924955912406054,0.9230769230769231,0.5294117647058824,9.0,0.5794
2nnu,2.3740879023537014,0.958,0.9378,0.6257796027657788,0.5652173913043478,0.8598189665239825,6.873161014477445,0.52,0.38095238095238093,0.0,2.0305,1.5349371591039203,0.9666,0.9468,0.8259332492159812,0.6071428571428571,0.4372131038631886,3.1964485816298787,0.68,0.45161290322580644,0.0,0.688,9.796541220760488,0.8912,0.8778,0.026116382767531404,0.0,9.999995699794885,34.785717157535544,0.0,0.0,0.0,0.8547
3fp2,26.737400319022644,0.0808,0.0758,0.7950268545887362,0.6451612903225806,0.761427290492845,1.619663145929909,0.625,0.3333333333333333,0.0,11.9475,16.646665377957426,0.0803,0.0789,0.7253098194018546,0.43478260869565216,0.16644558598339904,3.2039882036437235,0.3125,0.2857142857142857,0.0,3.7541,24.669440180445893,0.063,0.0507,0.04554189227482153,0.0,8.178369302566235,24.93834205678107,0.0,0.0,0.0,2.5611
4q6h,0.4577720240333481,0.9856,0.9919,0.9018566246773965,0.8,0.4077792392823118,0.7738702314880282,0.782608695652174,0.18181818181818182,0.0,1.4561,0.427663795310843,0.9868,0.9973,0.9730500894000973,0.88,0.280821855158488,0.5044008434943291,0.9565217391304348,0.18518518518518517,0.0,0.7483,0.42871515329578097,0.986,0.9919,0.9525762070860031,0.75,0.3504348259203512,0.5080516545474038,0.9130434782608695,0.36363636363636365,7.0,0.6138
4e34,1.140091625760146,0.9726,0.982,0.9054799936862671,0.8235294117647058,0.3794536946648973,3.378924426432325,0.9130434782608695,0.25,0.0,1.3694,0.4939563684843054,0.9866,0.9871,0.9750731081483455,0.92,0.3475542734941909,1.3280565580796757,1.0,0.14814814814814814,0.0,0.7852,3.1563905702355943,0.9169,0.9304,0.46248513734165403,0.48484848484848486,2.3968659147978544,10.188620439009165,0.6956521739130435,0.627906976744186,8.0,0.3147
1hc9,1.7445536583489234,0.9372,0.9397,0.903388783566136,0.8857142857142857,0.5220782133028898,1.2024778060170491,0.8378378378378378,0.06060606060606061,0.0,1.4813,0.4717695213706616,0.9813,0.9943,0.9541797337810296,0.958904109589041,0.4335611075716916,0.6770036089908995,0.9459459459459459,0.027777777777777776,0.0,0.8,12.492567440515858,0.8017,0.8132,0.0212691495263585,0.0,15.473116329078303,35.404913591198614,0.0,0.0,0.0,0.1091
1f47,0.8601484095768049,0.9731,0.9565,0.8971133688666636,0.8,0.5152048386479168,1.8503105151633288,0.8421052631578947,0.23809523809523808,0.0,1.6136,0.8449696741533588,0.9738,0.9658,0.8564695502380233,0.7567567567567568,0.528543573462844,2.0895296587430323,0.7368421052631579,0.2222222222222222,0.0,0.8491,3.154226952627932,0.9284,0.9037,0.8332837399433508,0.6415094339622641,0.7684197969754574,4.076677555143506,0.8947368421052632,0.5,5.0,0.2719
3p72,2.2745517642464432,0.9706,0.9482,0.8549964823751326,0.7272727272727273,0.4919501303978455,0.5753661271673971,0.6666666666666666,0.2,0.0,4.3225,1.1060982711718375,0.9832,0.9777,0.9436079152453541,0.84,0.3023069938286481,0.6112132810778453,0.875,0.19230769230769232,0.0,0.8394,3.4312484371947067,0.9316,0.8911,0.12380878551881452,0.0,7.698310736871746,11.979929004481402,0.0,1.0,1.0,0.99
5njc,0.3427432245997295,0.9981,0.9985,0.9219052348935503,0.8571428571428571,0.4535225760717602,0.7472542530077895,0.8571428571428571,0.14285714285714285,0.0,3.4866,0.43546260102904855,0.997,0.9969,0.9191546827504125,0.847457627118644,0.5570452230003308,1.0200360389494911,0.8928571428571429,0.1935483870967742,0.0,0.9936,1.4908110437132351,0.9797,0.9258,0.22894465887885404,0.2777777777777778,4.350219907185486,10.367033017504038,0.17857142857142858,0.375,0.0,0.4247
2xcb,1.1514742707853924,0.9776,0.9823,0.8926976861178689,0.7450980392156863,0.590335626577849,1.0084128550759102,0.8260869565217391,0.32142857142857145,0.0,9.3169,0.3694758237652856,0.9936,0.9947,0.9083580524617568,0.8163265306122449,0.5818573753507114,1.0018174672637563,0.8695652173913043,0.23076923076923078,0.0,1.49,1.5488724226592117,0.9722,0.9805,0.9506377725619454,0.7666666666666667,0.582997864364751,1.1127999587130315,1.0,0.3783783783783784,5.0,1.128
3njg,0.4287367476507215,0.9896,0.9916,0.8783621492200853,0.8461538461538461,0.7008277527815939,0.885410508099677,0.825,0.13157894736842105,0.0,1.3861,0.6397514227566699,0.9773,0.9853,0.8768929712486431,0.868421052631579,0.7115651969832076,0.8808685485922824,0.825,0.08333333333333333,0.0,0.7008,3.5965879753255265,0.8918,0.8697,0.12166534618369118,0.12,6.676751603784705,15.045490132689872,0.075,0.7,5.0,0.6425
3kmr,0.5393053243378252,0.9915,0.9898,0.9270788903170283,0.8292682926829268,0.4842279565526458,1.1868480348260844,0.8947368421052632,0.22727272727272727,0.0,1.4977,0.6222538008767792,0.9887,0.9898,0.9660055037599647,0.9743589743589743,0.45568805535097867,1.134137398292853,1.0,0.05,0.0,0.7841,1.041376663445834,0.9754,0.9508,0.9578326152200024,0.7307692307692307,0.5283658787240244,1.0880686314688512,1.0,0.42424242424242425,6.0,0.4741
6dei,12.666636167200844,0.1643,0.1483,0.017299439311501588,0.0,13.59241107596025,41.71390738318789,0.0,0.0,0.0,4.7172,12.743069114782179,0.1671,0.1525,0.568230137079473,0.6376811594202898,1.37964397452899,9.33488550789869,0.7096774193548387,0.42105263157894735,0.0,2.4233,10.946450021189804,0.1647,0.1504,0.03761691166924846,0.0,10.438554060646815,26.60497083372111,0.0,1.0,1.0,1.7569
3ivv,2.3341506816185467,0.9397,0.93,0.8248546832695278,0.76,1.0188100520862184,2.3920525172027793,0.8636363636363636,0.32142857142857145,0.0,1.3511,2.0522696979407793,0.9472,0.945,0.7635447108895406,0.7272727272727273,1.0797738853118444,2.7590864227187604,0.7272727272727273,0.2727272727272727,0.0,0.7011,3.0893165176498116,0.93,0.925,0.5193322197164317,0.6349206349206349,3.1777662388420778,9.086402761760331,0.9090909090909091,0.5121951219512195,6.0,0.4625
2xpn,0.9095652137774134,0.9825,0.9794,0.8448250954977133,0.7575757575757576,0.6823315036449294,2.426072024303829,0.78125,0.2647058823529412,0.0,2.2286,0.826855619783695,0.9844,0.9794,0.8591470640871348,0.8064516129032258,0.6158478530616474,2.1391002375838477,0.78125,0.16666666666666666,0.0,1.5983,0.959516076393664,0.9785,0.9763,0.860495043756972,0.7466666666666667,0.7830958331975059,2.495226403401049,0.875,0.3488372093023256,8.0,0.7672
2p54,1.2511976076654596,0.9739,0.9579,0.9579169318960558,0.8695652173913043,0.5292991656049414,1.0673034489552367,1.0,0.23076923076923078,0.0,2.2988,1.3041096569198372,0.9748,0.9624,0.945989904517047,0.8636363636363636,0.473297220478887,1.2595100715338512,0.95,0.20833333333333334,0.0,1.5,1.6172327148220966,0.9613,0.9265,0.9170900814669332,0.7307692307692307,0.6499798576528614,1.7496058610575804,0.95,0.40625,5.0,0.2227
1yy6,1.015294631125611,0.3451,0.3483,0.9339761595209461,0.8837209302325582,0.2164926404693249,0.5216939322934375,0.8260869565217391,0.05,0.0,2.52,0.6532217786415117,0.351,0.3517,0.9341482780358127,0.8837209302325582,0.19237912363301388,0.7368868231067537,0.8260869565217391,0.05,0.0,1.1902,1.3826898772767031,0.3238,0.3241,0.48292355073165744,0.43243243243243246,2.174714264790638,4.533073742296786,0.34782608695652173,0.42857142857142855,0.0,0.4308
4r5i,3.0189452467713553,0.8826,0.7993,0.20887721066973755,0.20833333333333334,5.204683997355146,11.391771214379125,0.19230769230769232,0.7727272727272727,0.0,1.4922,2.664264039964654,0.8898,0.8059,0.5069608401687776,0.3673469387755102,1.8038988153490532,4.698795459145503,0.34615384615384615,0.6086956521739131,0.0,1.4013,2.810556554528246,0.9241,0.8805,0.2615262889127849,0.2647058823529412,5.227402747624953,11.275784564299135,0.34615384615384615,0.7857142857142857,7.0,0.2016
4leb,0.8377896403553821,0.9868,0.9779,0.7941425980899505,0.7407407407407407,1.3870229945490338,2.9733874361800496,0.9523809523809523,0.3939393939393939,0.0,1.4838,0.7523304836149594,0.9907,0.9894,0.7845740751441964,0.8076923076923077,1.5262400585335274,3.395374179014278,1.0,0.3225806451612903,0.0,0.7602,4.239996930214291,0.9588,0.9257,0.03515740332033892,0.0,11.060473074192064,27.46442178731109,0.0,1.0,0.0,0.808
3i5r,0.8983391012220104,0.9666,0.975,0.9221145877962992,0.9230769230769231,0.5626335764587138,0.867865487376967,0.9,0.05263157894736842,0.0,1.35,0.7390547318483797,0.9653,0.9722,0.8769066979945596,0.8421052631578947,0.6450689836760196,0.9832671186276738,0.8,0.1111111111111111,0.0,0.9911,0.9898729188403727,0.9596,0.9639,0.8806039663823468,0.7906976744186046,0.723431698496348,1.198087663470619,0.85,0.2608695652173913,5.0,0.5952
4x2h,6.012781445989111,0.898,0.8927,0.879287534728156,0.8461538461538461,0.5084458807606425,1.8407293889183003,0.7857142857142857,0.08333333333333333,0.0,1.7041,10.07474201305309,0.8687,0.8523,0.019096555164407492,0.0,14.61524304917278,38.33247650405169,0.0,1.0,0.0,0.8352,4.314913711255694,0.86,0.8169,0.5514286933833491,0.5769230769230769,1.9584003788719142,4.92278523581118,0.5357142857142857,0.375,3.0,0.12
3ds4,1.209376967696843,0.9579,0.9663,0.9244069614324705,0.8615384615384616,0.3423963349656712,1.3816065513630564,0.8484848484848485,0.125,0.0,4.0272,1.132632676771917,0.9552,0.9719,0.9191328494141923,0.90625,0.3261186265464086,2.4421696234935757,0.8787878787878788,0.06451612903225806,0.0,7.5563,8.447900594457668,0.8114,0.8174,0.039264941394953866,0.0,10.355539732812824,25.898316227248742,0.0,1.0,3.0,0.27
2c3i,0.5663690838548769,0.0301,0.0292,0.942472545571076,0.9629629629629629,0.5592398195750418,0.9946714007326862,0.9629629629629629,0.037037037037037035,0.0,18.3786,0.4239760995161692,0.0303,0.0292,0.9603800166718487,0.9615384615384616,0.3103070745614453,0.521245494521175,0.9259259259259259,0.0,0.0,1.7361,3.358858962046961,0.0269,0.0228,0.08638517689901211,0.10256410256410256,10.245636723520393,19.18431437635498,0.07407407407407407,0.8333333333333334,1.0,1.7638
3brl,0.6235282580189314,0.9873,0.9949,0.9611845587348853,0.927536231884058,0.3575428139968414,0.5291840943397765,0.9411764705882353,0.08571428571428572,0.0,2.2413,0.32625982447677265,0.9928,0.9974,0.9605880893617603,0.9411764705882353,0.36054266087678327,0.5899402362652123,0.9411764705882353,0.058823529411764705,0.0,1.0158,1.1696044849021043,0.937,0.9515,0.6180198622221792,0.525,1.8340409536269537,3.7701470412662363,0.6176470588235294,0.5434782608695652,7.0,0.2216
1x2r,0.4793443888749879,0.9945,0.9916,0.833722150133211,0.7692307692307693,0.7619362824418194,1.6061299682839079,0.7407407407407407,0.2,0.0,4.825,0.41491225715104646,0.9961,0.9941,0.8586505355580915,0.8727272727272727,0.9125409533274463,1.797588660008294,0.8888888888888888,0.14285714285714285,0.0,0.7466,1.3909316672155607,0.9764,0.9699,0.322030294681738,0.14035087719298245,3.154743768617608,6.464472979989702,0.14814814814814814,0.8666666666666667,5.0,0.6091
4mvi,2.0776208412910204,0.908,0.877,0.519140407083665,0.4578313253012048,2.381125553736238,4.117981299228713,0.4634146341463415,0.5476190476190477,0.0,2.0169,2.856311097310274,0.8919,0.8622,0.43442443634261424,0.4,2.9096454578876116,5.84873272313299,0.4146341463414634,0.6136363636363636,0.0,1.1969,3.874714874979044,0.885,0.8581,0.12376149910600466,0.03571428571428571,6.266246127498944,13.213303640799538,0.024390243902439025,0.9333333333333333,4.0,0.5555
5i7z,1.6167396464538653,0.9361,0.949,0.6822734285928647,0.9302325581395349,2.118687541569948,4.76933581852406,0.9523809523809523,0.09090909090909091,0.0,2.9225,0.31527816121961844,0.993,1.0,0.9843430102027791,0.9130434782608695,0.3102261827165812,0.6577303256798824,1.0,0.16,0.0,0.7516,1.6855859858254791,0.926,0.9345,0.6865815110230219,0.7272727272727273,2.0604272217925366,4.763984572942116,0.9523809523809523,0.4117647058823529,6.0,0.27
3emw,1.1270077655192217,0.9751,0.965,0.7109713226825294,0.8181818181818182,1.7799549860745296,3.422297482124011,0.8571428571428571,0.21739130434782608,0.0,2.0541,1.103508686211672,0.9774,0.9698,0.9556676088298911,0.9545454545454546,0.5316784784332023,1.2564690632748294,1.0,0.08695652173913043,0.0,0.8602,5.974328448963996,0.9426,0.9348,0.024321533954150324,0.0,12.963487036297487,33.71793003567634,0.0,1.0,0.0,0.3986
3g2s,1.8011053024532198,0.9373,0.922,0.5651021858818877,0.5306122448979592,1.6427160729680557,5.0301857872315265,0.5,0.43478260869565216,0.0,1.3247,2.055865441964956,0.9288,0.922,0.5669893374837179,0.5416666666666666,1.7220926057780555,4.6511912396429915,0.5,0.4090909090909091,0.0,0.8316,2.6182702308390744,0.926,0.9076,0.5196541843585075,0.5,1.5181423961044518,8.060636836045557,0.5384615384615384,0.5333333333333333,8.0,0.2169
4b4n,0.7970178780925674,0.648,0.6391,0.8175107759038563,0.7272727272727273,0.5555094488918755,1.7851169039273747,0.6153846153846154,0.1111111111111111,0.0,2.3872,0.7706748499512939,0.6494,0.6457,0.7582495192285447,0.6976744186046512,0.8924834989731717,1.7512682542523434,0.5769230769230769,0.11764705882352941,0.0,12.2858,5.052297972059733,0.5722,0.5629,0.18244582175818405,0.3111111111111111,5.215879615727211,16.909160182558654,0.2692307692307692,0.631578947368421,0.0,0.7047
1n7f,0.642167700947958,0.9712,0.9814,0.942657872619189,0.9361702127659575,0.45636435913678863,0.5367322048294301,0.9166666666666666,0.043478260869565216,0.0,3.0444,0.5760023514922821,0.9759,0.9867,0.9413357921684383,0.9166666666666666,0.4595352029984085,0.7063198198560791,0.9166666666666666,0.08333333333333333,0.0,0.7033,0.6993855846737671,0.9637,0.9734,0.934994580866953,0.7076923076923077,0.6218463311046976,0.6976412661524983,0.9583333333333334,0.43902439024390244,7.0,0.1233
4qja,3.7187973147676057,0.9567,0.9519,0.8612960663447286,0.6666666666666666,0.5095801204713716,0.9618619240509657,0.7,0.36363636363636365,0.0,1.3913,3.7214226220940207,0.9535,0.9459,0.9392095891334461,0.85,0.22587330859755525,0.8628265702462321,0.85,0.15,0.0,0.965,4.286423176695757,0.9403,0.9279,0.06496575104035464,0.0,7.064439917859567,20.095717732144927,0.0,1.0,1.0,0.2677
4gq6,2.7832713072056277,0.9082,0.8925,0.848200741135318,0.7936507936507936,0.6388328597113818,1.6698309741645887,0.7352941176470589,0.13793103448275862,0.0,2.238,0.9581292165779682,0.9122,0.9029,0.8508620355170731,0.8,0.6869012425762165,1.7070425398371059,0.7647058823529411,0.16129032258064516,0.0,1.8975,3.642377363006074,0.8792,0.8272,0.13619668903973667,0.0,8.017783719284948,10.978764004836483,0.0,0.0,0.0,0.7761
1yfn,1.0056846969150641,0.9692,0.9744,0.759126016760241,0.6857142857142857,1.1189015610821307,1.9671570019810867,0.6857142857142857,0.3142857142857143,0.0,1.8183,1.3332075350031516,0.9526,0.9508,0.5794826080060987,0.53125,1.9193632009597574,3.2338153152151285,0.4857142857142857,0.41379310344827586,0.0,0.7486,8.079377022115226,0.8558,0.8543,0.06250114874291936,0.08695652173913043,11.744998110742202,23.65998365400045,0.05714285714285714,0.8181818181818182,1.0,0.4602
3up3,0.8554120901864927,0.9839,0.9706,0.9527035186845767,0.9152542372881356,0.299124087796282,0.5140158524396504,0.9,0.06896551724137931,0.0,1.7516,0.5934311269347753,0.9903,0.9863,0.9410005779071596,0.9,0.3963773525745987,0.9259282595586034,0.9,0.1,0.0,0.8563,1.0745206377273002,0.9747,0.95,0.9414852267986921,0.8787878787878788,0.5768700318247949,0.9893178586299959,0.9666666666666667,0.19444444444444445,11.0,0.5227
3v2o,0.8830449955285071,0.981,0.9763,0.7663124565915753,0.7547169811320755,1.149880866283161,3.2991028259709254,0.8,0.2857142857142857,0.0,4.3702,0.8166674078013714,0.9847,0.9896,0.7880028305576322,0.7843137254901961,1.0423052379962414,2.993932675493151,0.8,0.23076923076923078,0.0,1.0163,4.7158795346299724,0.9317,0.9186,0.12125301098594234,0.12698412698412698,9.205377651391025,18.272696845703464,0.16,0.8947368421052632,6.0,0.78
2fgr,4.553044418785604,0.9765,0.975,0.029767394761042527,0.0,12.142305208912754,30.00905008502627,0.0,1.0,0.0,1.6133,4.1662236331944165,0.9761,0.9743,0.03417821024170902,0.0,11.909142237899271,27.5498226187754,0.0,1.0,0.0,0.758,2.4458488806632332,0.9596,0.9154,0.11964364394575211,0.08,8.336469671761483,13.712918095574073,0.05,0.8,1.0,0.9888
2a3i,1.4890553008092442,0.9712,0.9538,0.9044757137531928,0.717948717948718,0.32378256341032785,1.2090568233181553,0.7777777777777778,0.3333333333333333,0.0,2.0758,1.2621108428967394,0.9751,0.9557,0.8483270413578934,0.6857142857142857,0.47856441504864056,1.4767826864778546,0.6666666666666666,0.29411764705882354,0.0,0.8827,1.3467281292703048,0.9709,0.95,0.9504049803065588,0.7083333333333334,0.39753872168403315,1.432040028285904,0.9444444444444444,0.43333333333333335,3.0,0.4955
4ouc,1.0882056015836394,0.9849,0.9717,0.3531676989555855,0.2553191489361702,3.2168803019452787,6.501347412633573,0.25,0.7391304347826086,0.0,5.1944,1.4136919611490428,0.9827,0.9725,0.25009059851103027,0.1509433962264151,4.245390043617911,8.978897938696806,0.16666666666666666,0.8620689655172413,0.0,1.6777,1.9730067177845219,0.9615,0.8958,0.1387759386428105,0.0,5.425136888283919,11.703947775739984,0.0,1.0,1.0,0.7516
4zoz,0.4888691330909098,0.152,0.1515,0.75993555607853,0.47619047619047616,0.3052452327910843,1.3682377078638381,0.3448275862068966,0.23076923076923078,0.0,12.4105,0.5637268026100347,0.1523,0.1515,0.77344176330225,0.5,0.2137460439799485,0.5778857242888185,0.3448275862068966,0.09090909090909091,0.0,4.0094,1.9975846273723368,0.135,0.1244,0.2836918953847791,0.0,1.9636360840564426,8.801525126858175,0.0,1.0,1.0,0.6705
3l81,1.4928670019102843,0.7852,0.7617,0.8480110858700675,0.8,1.0154562866101282,1.773148092346863,0.9,0.28,0.0,2.5555,7.289069032650827,0.6682,0.5953,0.8655129426620726,0.926829268292683,0.5822903891685249,4.547114819591368,0.95,0.09523809523809523,1.0,1.3911,2.3692748566032833,0.7641,0.7228,0.8394623355864509,0.76,1.0777554346103442,2.6916235279044023,0.95,0.36666666666666664,6.0,0.8716
1skg,1.3219236888920394,0.9573,0.9603,0.43107699670073857,0.3333333333333333,2.579309056736782,5.6906890982841505,0.35,0.6818181818181818,0.0,1.63,0.9419033605061965,0.9727,0.9762,0.4906276031871552,0.3783783783783784,1.9586163444823628,4.878782457990917,0.35,0.5882352941176471,0.0,0.793,1.5613667911002087,0.9373,0.9306,0.39412645555201936,0.4,2.8149989717480515,6.778927341106121,0.35,0.5333333333333333,5.0,0.4058
6b27,1.643942439849617,0.9418,0.9434,0.9428299956705722,0.9565217391304348,0.5580216686116012,0.685486419707379,0.9565217391304348,0.043478260869565216,0.0,1.7694,1.0585586851724351,0.9696,0.9688,0.9524190412259211,0.8979591836734694,0.47121898194891787,0.8298435086059793,0.9565217391304348,0.15384615384615385,0.0,1.0202,1.9658972340906298,0.9138,0.9199,0.5199041015081165,0.46511627906976744,2.0423261529717296,4.586209020423744,0.43478260869565216,0.5,2.0,0.5983
4oz1,12.408942271783229,0.4889,0.4803,0.03708172914932056,0.0,9.925971247428281,27.20835458969836,0.0,0.0,0.0,2.5063,12.741424035910669,0.5704,0.5197,0.025461564485023954,0.0,11.522918288091063,33.72733763899068,0.0,1.0,0.0,1.4358,15.337558866882544,0.5286,0.4782,0.21680535467542295,0.0,4.247747188827395,7.852374650694954,0.0,0.0,0.0,0.4105
5cqx,,0.0826,0.058,,,,,,,,4.0225,,0.0815,0.058,,,,,,,,2.0205,,0.0718,0.0549,,,,,,,,0.2333
3vtc,0.7414263779861333,0.1892,0.1892,0.8319013307310769,0.8095238095238095,0.943708872372635,1.5011565850184674,0.8095238095238095,0.19047619047619047,0.0,2.213,0.7397098292162186,0.188,0.1882,0.806869502616055,0.8181818181818182,1.1993892809368998,1.8777816137721888,0.8571428571428571,0.21739130434782608,0.0,1.5758,1.2972337373742049,0.1833,0.1723,0.9014818731554546,0.7636363636363637,0.8702250369929079,1.8178122112259574,1.0,0.38235294117647056,11.0,0.5047
